"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05032","hsa05032","Morphine addiction","42/2774","91/8577",0.00395255258857696,0.0164445706463017,0.010273041165892,"94235/114/2792/134/5137/5138/5143/112/54331/55970/196883/2770/2564/2791/108/2771/115/408/5578/2790/113/2787/10681/773/2785/157/409/156/59345/2869/5140/2793/5582/5153/2560/5141/5579/5136/140679/2569/2563/2557",42
"hsa04145","hsa04145","Phagosome","65/2774","152/8577",0.00422103427144848,0.0173474213350992,0.0108370584632824,"7099/4153/7057/7058/3690/22925/4973/1311/1514/4688/3106/3685/929/1520/9902/81035/10312/83547/3693/7059/7097/3678/3107/6890/3673/113457/245972/715/10381/3688/718/51807/3135/3134/8417/6891/71/3133/60/3105/1535/29927/23673/811/245973/23480/3916/9114/5868/9146/51382/10952/84617/7280/79659/155066/3113/3684/3689/6441/64581/3115/3109/4842/4360",65
"hsa05220","hsa05220","Chronic myeloid leukemia","36/2774","76/8577",0.00434605069103559,0.0176460130467349,0.0110235908460002,"861/7042/6776/1026/4088/7046/7048/5293/4616/4790/25759/1021/9846/399694/6777/6464/598/207/5604/1647/8517/5970/6655/578/4792/613/572/5594/4193/1147/1027/595/1869/10000/53358/1870",36
"hsa05134","hsa05134","Legionellosis","28/2774","56/8577",0.00442777264874364,0.0177310041992037,0.0110766854282078,"7099/3576/2919/3606/3310/3592/3553/3569/2920/4791/929/7124/2921/7097/4790/3303/3304/3305/718/5861/664/836/5970/4792/840/1917/3684/3689",28
"hsa05202","hsa05202","Transcriptional misregulation in cancer","80/2774","193/8577",0.0044722117416389,0.0177310041992037,0.0110766854282078,"1437/3207/3486/4066/3576/5154/2078/861/5328/5327/4233/26471/330/2321/7185/9915/64332/862/3569/1436/329/929/1026/3087/7048/4616/5090/4790/4208/860/4314/6495/5371/2308/6692/51804/8357/4005/598/2530/1848/7490/7849/8464/1647/5970/55589/3480/578/4297/6667/4193/8864/7704/1027/1031/5966/8013/1050/890/3398/2115/4211/3195/4300/1051/3684/4914/5087/2313/5079/5081/64919/6757/4613/3479/6756/4804/54738/6258",80
"hsa04727","hsa04727","GABAergic synapse","41/2774","89/8577",0.00455924779074653,0.017865889598623,0.0111609493041531,"94235/114/2792/6539/2571/112/54331/55970/196883/2770/2564/2791/6714/108/2771/115/775/2744/66008/5578/2790/113/2787/10681/92745/2752/773/2785/10243/59345/2793/18/57468/5582/2560/5579/9001/140679/2569/2563/2557",41
"hsa04115","hsa04115","p53 signaling pathway","35/2774","74/8577",0.00503298989397071,0.0193426164694193,0.0120834711662779,"3486/7057/5054/3732/9540/64065/55240/1026/4616/2810/8797/1021/5366/598/836/1647/51246/901/92344/900/4193/55367/355/983/84883/891/9133/595/51512/25898/11200/7161/6241/575/3479",35
"hsa05143","hsa05143","African trypanosomiasis","20/2774","37/8577",0.00505089094750415,0.0193426164694193,0.0120834711662779,"3383/3910/3606/3592/2150/7412/335/3553/8542/3569/7124/5332/5578/5331/23236/355/3620/5582/5579/3040",20
"hsa04012","hsa04012","ErbB signaling pathway","39/2774","85/8577",0.00606650808001363,0.0229709350894898,0.0143501078178915,"1956/2069/1839/685/9542/6776/1026/7039/817/5293/3725/25759/8440/3084/6714/374/399694/6777/27/6464/868/207/5604/5578/2064/6655/5058/572/5594/56924/106821730/5602/1027/10000/1950/53358/2066/5582/5579",39
"hsa04912","hsa04912","GnRH signaling pathway","42/2774","93/8577",0.00636231069370843,0.0235615242173598,0.0147190530797187,"114/1956/1839/4313/5580/8605/1081/5337/4323/817/3972/3725/112/5606/196883/6300/5338/5600/6714/108/115/3709/775/4215/5598/5332/5604/5578/998/805/6655/5331/23236/113/5594/91860/801/5602/5321/1958/5579/5608",42
"hsa04970","hsa04970","Salivary secretion","42/2774","93/8577",0.00636231069370843,0.0235615242173598,0.0147190530797187,"154/486/727897/114/3783/683/477/362/2977/5592/112/493/2983/196883/490/481/1471/108/115/3778/3709/2982/5332/5578/805/6522/5331/483/23236/113/91860/801/4025/148/482/153/5582/4589/478/5579/155/4842",42
"hsa04916","hsa04916","Melanogenesis","45/2774","101/8577",0.00656458383746758,0.0239580423487912,0.01496676079887,"7476/7477/114/1906/81029/1910/90993/7483/7475/4254/817/64764/112/7855/83439/196883/2770/6932/108/10488/2771/115/7473/8323/80326/5332/6934/5604/5578/1855/2535/8326/805/8324/5331/23236/113/5594/91860/801/51176/7474/8321/5582/5579",45
