"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05152","hsa05152","Tuberculosis","64/2774","180/8577",0.196727947281924,0.347458195194789,0.217059625297385,"7099/3929/3656/22925/8877/3606/3592/7042/3553/3569/4046/929/1520/9902/3552/7124/10312/817/7097/5533/4790/7421/8767/6300/245972/3459/718/5600/1263/7132/6714/8915/8717/207/1509/836/3654/114609/3916/805/9114/5970/3588/5868/3460/572/5594/56848/91860/8844/4802/801/5532/5602/10000/3113/5994/1051/3684/3689/64581/3115/3109/4360",64
"hsa04940","hsa04940","Type I diabetes mellitus","17/2774","43/8577",0.196927345051052,0.347458195194789,0.217059625297385,"3592/3553/3106/3552/7124/5798/2571/3107/3135/3134/3133/3105/1363/355/3113/3115/3109",17
"hsa04215","hsa04215","Apoptosis - multiple species","13/2774","32/8577",0.205719702927402,0.360799014990808,0.225393731057822,"330/5414/666/329/7132/5366/598/836/578/840/5602/332/4804",13
"hsa05030","hsa05030","Cocaine addiction","19/2774","49/8577",0.206629702947258,0.360799014990808,0.225393731057822,"90993/627/7054/4790/64764/3725/2770/8787/10488/2771/5970/26086/116444/1020/1742/84152/2912/2903/5173",19
"hsa00770","hsa00770","Pantothenate and CoA biosynthesis","9/2774","21/8577",0.209763922492326,0.364383721030483,0.227633122617825,"8875/1806/80347/217/5167/79646/53354/5169/339896",9
"hsa00534","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","10/2774","24/8577",0.22076340696628,0.381524452039162,0.238341060152529,"64132/64131/3340/2132/2137/2131/26035/9348/64579/9956",10
"hsa00650","hsa00650","Butanoate metabolism","11/2774","27/8577",0.229948618929608,0.395370839690193,0.246990997776163,"2571/64064/65985/35/3155/39/7915/3033/79944/622/18",11
"hsa04973","hsa04973","Carbohydrate digestion and absorption","18/2774","47/8577",0.233527974463713,0.399486941087671,0.249562355825501,"486/477/80201/5293/481/3098/207/5332/5331/483/23236/3099/10000/2542/482/478/5579/3101",18
"hsa00603","hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series","7/2774","16/8577",0.234724075512463,0.399505118422728,0.249573711337016,"26301/6482/3074/3073/53947/10690/6489",7
"hsa00565","hsa00565","Ether lipid metabolism","19/2774","50/8577",0.237438756448728,0.400084304616107,0.249935533103924,"133121/122618/5168/11145/8605/5337/8613/8611/5338/254531/54947/56994/8540/387521/5050/5321/8398/7368/50487",19
"hsa05110","hsa05110","Vibrio cholerae infection","19/2774","50/8577",0.237438756448728,0.400084304616107,0.249935533103924,"11015/9414/10312/245972/115/71/9601/60/29927/11014/245973/23480/7082/5578/9114/30001/51382/10952/155066",19
"hsa01232","hsa01232","Nucleotide metabolism","31/2774","85/8577",0.239542986564815,0.400922128902943,0.250458927941866,"4907/978/26289/7378/1890/2766/272/122622/144811/205/1635/203/132/51727/955/2987/100/7084/159/4833/83549/79077/7298/5167/51292/6241/956/51816/5169/270/122481",31
"hsa01240","hsa01240","Biosynthesis of cofactors","54/2774","153/8577",0.240315341360221,0.400922128902943,0.250458927941866,"6999/23057/26289/8942/3242/7358/122622/1728/205/4337/203/29926/64802/5372/23498/51727/55191/159/7360/93100/25902/29925/4833/124454/2643/80347/7372/1355/57026/55163/217/10229/51601/8630/1719/326625/23475/27235/51805/79646/6470/53354/790/493911/29968/10243/200895/3620/349565/387787/8564/249/9249/122481",54
"hsa04340","hsa04340","Hedgehog signaling pathway","21/2774","56/8577",0.244167212069524,0.405265626131378,0.253172341796894,"91653/57758/55733/64750/23432/23295/408/2121/50937/132884/57154/1454/23288/595/157/409/156/2619/84455/5727/2735",21
"hsa04070","hsa04070","Phosphatidylinositol signaling system","35/2774","97/8577",0.24532399920119,0.405265626131378,0.253172341796894,"117283/3628/5293/1606/5333/8871/3636/5305/3709/113026/5332/1609/3612/23396/8525/5578/5286/55300/10423/805/5331/9108/80271/23236/4534/91860/3635/9110/801/1040/3706/5287/5582/139189/5579",35
"hsa00220","hsa00220","Arginine biosynthesis","9/2774","22/8577",0.258835319437337,0.425500012928695,0.265812908279678,"445/435/2744/95/4846/2752/384/4842/137362",9
"hsa00130","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis","5/2774","11/8577",0.264461911606978,0.432639146658018,0.270272776297372,"3242/1728/10229/27235/51805",5
"hsa00280","hsa00280","Valine, leucine and isoleucine degradation","18/2774","48/8577",0.266942844264728,0.434588108778809,0.271490306905394,"64064/316/65985/35/11112/3155/10449/56922/217/501/593/39/36/1629/3033/5095/594/18",18
"hsa00601","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","11/2774","28/8577",0.274552786619622,0.443834067602177,0.277266323662144,"8707/2683/2651/10678/8702/10402/6484/53947/8708/10690/6489",11
"hsa00480","hsa00480","Glutathione metabolism","21/2774","57/8577",0.275256142815593,0.443834067602177,0.277266323662144,"2938/2878/290/2687/2678/4257/2539/4258/9446/373156/494143/4953/2947/3417/2941/6241/10314/2944/2949/2946/2948",21
"hsa00410","hsa00410","beta-Alanine metabolism","12/2774","31/8577",0.280493411189911,0.450125140814286,0.2811964021954,"221/218/2571/1806/35/55748/51/23417/217/501/18/339896",12
"hsa05211","hsa05211","Renal cell carcinoma","25/2774","69/8577",0.282951038989736,0.451917062272707,0.282315828375891,"3082/2113/5155/4233/7042/9915/2034/1026/7039/5293/3725/5908/207/3091/5604/998/6655/6513/5058/572/5594/56924/106821730/7422/10000",25
"hsa00071","hsa00071","Fatty acid degradation","16/2774","43/8577",0.296723158420554,0.471677850885503,0.294660534677809,"51703/1374/2180/113612/35/37/51/23205/10449/2639/217/501/39/36/3033/126129",16
"hsa04930","hsa04930","Type II diabetes mellitus","17/2774","46/8577",0.299517565231352,0.473884598511576,0.29603910573892,"8651/9021/5580/7124/80201/8835/5293/5581/775/3098/5594/3099/773/5602/8660/8913/3101",17
"hsa03060","hsa03060","Protein export","9/2774","23/8577",0.311024636819449,0.486176166072628,0.303717736106592,"3309/29927/23480/23478/10952/58477/6729/6726/90701",9
"hsa04964","hsa04964","Proximal tubule bicarbonate reclamation","9/2774","23/8577",0.311024636819449,0.486176166072628,0.303717736106592,"486/358/477/481/2744/483/1468/482/478",9
"hsa04720","hsa04720","Long-term potentiation","24/2774","67/8577",0.311614397245364,0.486176166072628,0.303717736106592,"114/817/5533/10411/5908/3709/775/5332/5604/5578/6196/805/6197/5331/23236/5594/5501/91860/801/5532/5582/5579/2903/5502",24
"hsa04630","hsa04630","JAK-STAT signaling pathway","57/2774","166/8577",0.316211467050551,0.491074951133806,0.306778042251323,"1437/1438/55801/5154/3976/1956/3589/5156/3592/5155/5618/23529/3601/3575/8651/3569/3570/3597/9021/6776/3566/1026/5617/3600/50615/2273/5292/8835/11009/5293/316/9180/3574/2690/3598/10379/3459/3572/3953/6777/5159/6774/6773/598/207/6655/3588/3460/9306/1270/595/10000/1950/3595/1271/163702/2057",57
"hsa00052","hsa00052","Galactose metabolism","12/2774","32/8577",0.325357636147417,0.500664490327304,0.312768696128255,"231/80201/2683/3098/2720/5236/5211/7360/3099/5213/57016/3101",12
"hsa00640","hsa00640","Propanoate metabolism","12/2774","32/8577",0.325357636147417,0.500664490327304,0.312768696128255,"8801/35/51/55902/23417/3945/593/1629/5095/594/32/18",12
"hsa04216","hsa04216","Ferroptosis","15/2774","41/8577",0.33343637187738,0.51076389692126,0.319077867825244,"7018/51703/3162/55240/6303/5621/2180/23516/1356/8031/81631/84557/643246/23657/64116",15
"hsa05160","hsa05160","Hepatitis C","54/2774","158/8577",0.337334926672868,0.514397603116546,0.321347870133716,"1956/5010/137075/1364/439996/4939/4600/9021/5465/4599/1026/7124/5293/4790/10379/148022/3434/23586/1021/7132/7534/9451/8717/975/9641/8837/3949/3665/9069/6774/6773/207/5604/836/8517/5516/6041/5970/6655/4938/7533/8737/578/4792/572/5594/5520/355/1147/595/1869/10000/1950/1870",54
"hsa04114","hsa04114","Oocyte meiosis","45/2774","131/8577",0.340896946748791,0.517487707451993,0.323278280463528,"114/64506/817/5533/112/196883/6300/80315/442590/5600/108/5526/115/7534/3709/5604/6196/9985/5516/805/6197/7533/5525/3480/113/5594/25847/5501/91860/51434/995/8243/699/983/801/891/5532/9133/9232/9700/4085/151648/5347/286151/3479",45
"hsa00511","hsa00511","Other glycan degradation","7/2774","18/8577",0.356680894443931,0.539020006401814,0.336729661972084,"2519/4126/3074/3073/2720/4758/23324",7
"hsa00062","hsa00062","Fatty acid elongation","10/2774","27/8577",0.367924607985188,0.553529432549145,0.345793804497357,"117145/9200/79993/122970/64834/201562/10449/60481/6785/3033",10
"hsa00564","hsa00564","Glycerophospholipid metabolism","34/2774","99/8577",0.37031777353637,0.554653731918919,0.346496162373212,"196051/51365/122618/11145/8605/5337/8613/1606/8611/23659/64900/5338/3931/5130/254531/56261/54947/1609/8525/10423/84513/9926/56994/84803/1040/57678/23171/55500/5321/8398/139189/162466/50487/1103",34
"hsa05332","hsa05332","Graft-versus-host disease","15/2774","42/8577",0.374462227078356,0.558379515599141,0.348823686146582,"3553/3569/3106/3552/7124/3107/3135/3134/3133/3105/355/3113/3115/3109/3821",15
"hsa04726","hsa04726","Serotonergic synapse","39/2774","115/8577",0.392530089729166,0.582742908540656,0.364043672366488,"94235/3363/2792/3352/5742/8605/7220/5743/54331/55970/2770/10411/2791/2771/1843/3709/775/5332/5604/836/5578/2790/5331/23236/2787/10681/5594/773/2785/59345/3355/1573/5321/2793/9177/5582/2560/121278/5579",39
"hsa00590","hsa00590","Arachidonic acid metabolism","21/2774","61/8577",0.410264288273185,0.606399408544138,0.378822057500633,"9536/11145/4051/5742/2687/8605/5730/5743/6916/2678/1571/284273/113612/22949/874/4048/1573/8644/5321/8398/50487",21
"hsa00430","hsa00430","Taurine and hypotaurine metabolism","6/2774","16/8577",0.419090666290771,0.615342573905075,0.384408917010823,"2687/2571/2678/2326/570/339896",6
"hsa00785","hsa00785","Lipoic acid metabolism","7/2774","19/8577",0.419966741834324,0.615342573905075,0.384408917010823,"2731/51601/593/55526/1629/594/387787",7
"hsa04622","hsa04622","RIG-I-like receptor signaling pathway","24/2774","71/8577",0.439914725358131,0.641780356907749,0.400924789572231,"3576/3592/7124/79671/4790/6300/340061/79132/1540/23586/5600/64135/8717/9641/3665/10010/8517/5970/8737/4792/1147/9755/5602/54941",24
"hsa03440","hsa03440","Homologous recombination","14/2774","41/8577",0.460319234194603,0.666613721251394,0.416438370296045,"57804/50511/80198/84142/5424/5892/672/4361/5889/675/6118/10714/7517/641",14
"hsa04260","hsa04260","Cardiac muscle contraction","29/2774","87/8577",0.461517953385103,0.666613721251394,0.416438370296045,"486/70/7168/477/444/27092/785/7171/7169/481/775/782/784/483/1349/10345/1350/59283/59285/6543/482/93589/783/845/6262/478/10368/7137/27091",29
"hsa05340","hsa05340","Primary immunodeficiency","13/2774","38/8577",0.462871248584054,0.666613721251394,0.416438370296045,"326/3575/7535/6890/5896/6891/8517/100/115650/5788/5994/973/930",13
"hsa05203","hsa05203","Viral carcinogenesis","67/2774","204/8577",0.465156417707146,0.667054096882163,0.416713476109425,"3018/90993/7185/3106/2934/6776/4791/1026/87/79885/5293/6672/4055/3107/4790/64764/3725/10379/245972/81/718/3572/1021/4067/7188/6714/3135/10488/3134/6777/8365/554313/5366/9261/7534/8717/8349/8341/83933/3133/51564/3105/3665/6774/9734/5829/27044/836/8517/998/9114/5970/7533/578/4792/572/5594/5934/4193/1960/983/1027/595/5966/6502/890/1959",67
"hsa04721","hsa04721","Synaptic vesicle cycle","26/2774","78/8577",0.467967352124229,0.668241515533327,0.417455265052836,"6539/23025/10312/26052/6804/6505/245972/1759/6812/8218/6809/245973/1212/1173/9114/160/51382/773/6857/155066/112755/6536/5864/57030/6507/140679",26
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species","73/2774","223/8577",0.475003244150338,0.672718829604528,0.420252275248807,"2938/3082/1956/4233/4688/5580/1543/3162/5337/1545/5795/1728/5293/4790/3725/196/4217/6300/1571/5338/5600/6714/4257/27/1535/207/3091/5604/65010/4258/8517/5970/6655/9446/4539/4731/4541/4538/4792/572/9020/5594/517/5587/1349/4717/4697/4707/1147/2947/54539/57412/4698/4696/7422/4025/5602/10000/1950/2941/1350/516/1646/2353/1109/2944/2949/8644/79852/2946/1836/2948/1572",73
"hsa05031","hsa05031","Amphetamine addiction","23/2774","69/8577",0.475095197168777,0.672718829604528,0.420252275248807,"90993/7054/817/5533/64764/6804/3725/10488/775/5578/805/116444/5501/91860/801/5532/2353/23237/5582/84152/5579/2903/5173",23
"hsa04614","hsa04614","Renin-angiotensin system","8/2774","23/8577",0.478507187831163,0.674715156063188,0.421499394698228,"185/290/4311/183/4012/1636/5476/5547",8
"hsa04910","hsa04910","Insulin signaling pathway","45/2774","137/8577",0.481788637777454,0.674777140012106,0.42153811651545,"8789/10891/8651/9021/80201/8835/5836/5293/5507/25759/23433/2308/3636/79660/5834/9322/399694/6464/868/3098/10580/207/8569/5604/805/6655/5575/51422/572/5594/3099/5501/89801/91860/10603/801/5602/3991/5577/10000/53358/8660/5140/32/3101",45
"hsa00100","hsa00100","Steroid biosynthesis","7/2774","20/8577",0.482555758881061,0.674777140012106,0.42153811651545,"3988/6646/10682/51478/1718/7108/3930",7
"hsa02010","hsa02010","ABC transporters","15/2774","45/8577",0.499366682041374,0.695399057222905,0.434420776025554,"24/8714/19/21/6890/215/1244/6891/10350/89845/5826/22/10058/154664/64240",15
"hsa04130","hsa04130","SNARE interactions in vesicular transport","11/2774","33/8577",0.51685607604008,0.716792171298383,0.447785207745359,"10791/8676/6804/6809/51272/6811/8417/6810/662/8773/112755",11
"hsa00240","hsa00240","Pyrimidine metabolism","19/2774","58/8577",0.522440666717384,0.72156764214655,0.450768478617242,"4907/978/7378/1890/1806/1635/51727/955/7084/4833/83549/7372/79077/7298/5167/790/6241/956/5169",19
"hsa04672","hsa04672","Intestinal immune network for IgA production","16/2774","49/8577",0.53525007364827,0.735111230585289,0.459229255402336,"3601/3676/23308/102723996/3569/3600/4055/2826/6387/9020/115650/3113/10673/3115/3109/7852",16
"hsa04972","hsa04972","Pancreatic secretion","33/2774","102/8577",0.536609384937629,0.735111230585289,0.459229255402336,"486/114/1504/683/477/7220/112/1358/493/196883/490/481/5908/108/115/3778/3709/5332/5578/6522/5331/483/23236/113/886/482/5582/1361/6262/478/5579/50487/885",33
"hsa05033","hsa05033","Nicotine addiction","13/2774","40/8577",0.550956735439467,0.750597653460422,0.468903734787082,"2564/116444/773/1139/1137/1141/57030/2560/2903/140679/2569/2563/2557",13
"hsa00061","hsa00061","Fatty acid biosynthesis","6/2774","18/8577",0.552368599579183,0.750597653460422,0.468903734787082,"51703/2180/23205/27349/32/7923",6
"hsa00730","hsa00730","Thiamine metabolism","5/2774","15/8577",0.5637325487906,0.762963329086073,0.476628660993955,"26289/205/203/249/122481",5
"hsa04623","hsa04623","Cytosolic DNA-sensing pathway","24/2774","75/8577",0.568848810070635,0.766808195975216,0.479030576901587,"6352/3606/1687/3553/3569/4790/340061/197259/23586/9641/79792/115004/3665/5441/25939/836/8517/5970/8737/4792/840/51728/55718/1147",24
"hsa00310","hsa00310","Lysine degradation","20/2774","63/8577",0.58761976218722,0.788955616960531,0.492866229555228,"8424/5352/8985/5351/63976/51166/79709/4297/2639/217/501/79723/39/64324/6839/55526/10919/3033/2146/10157",20
"hsa05330","hsa05330","Allograft rejection","12/2774","38/8577",0.600593990767613,0.803175297177324,0.501749365720646,"3592/3106/7124/3107/3135/3134/3133/3105/355/3113/3115/3109",12
"hsa01210","hsa01210","2-Oxocarboxylic acid metabolism","6/2774","19/8577",0.613477149307579,0.817161262121162,0.510486498279658,"51166/48/95/3419/3417/137362",6
"hsa04213","hsa04213","Longevity regulating pathway - multiple species","19/2774","61/8577",0.626573537448599,0.8275420201277,0.516971432220959,"114/1410/3310/5293/3303/112/3304/196883/2308/3305/108/115/207/3480/51422/113/10000/8660/3479",19
"hsa04744","hsa04744","Phototransduction","9/2774","29/8577",0.628432108128561,0.8275420201277,0.516971432220959,"2792/8787/805/9187/91860/801/2979/5158/5145",9
"hsa05150","hsa05150","Staphylococcus aureus infection","30/2774","96/8577",0.628637261580686,0.8275420201277,0.516971432220959,"3866/3883/8689/4153/55894/3383/3885/3884/3426/721/720/3857/3861/629/716/715/6404/3875/718/727/3113/1675/3684/3689/3115/3109/719/3872/3859/162605",30
"hsa03460","hsa03460","Fanconi anemia pathway","17/2774","55/8577",0.63957818084772,0.838668665158295,0.523922327133091,"80198/124907837/2187/80010/201254/672/5889/91442/3280/675/6118/29089/7398/2177/55215/641/116028",17
"hsa04922","hsa04922","Glucagon signaling pathway","33/2774","107/8577",0.665678908502783,0.869510822346659,0.543189643821121,"8789/10891/90993/5465/1374/817/5836/5533/64764/2308/108/5834/10488/3709/207/150094/102724428/5332/5211/805/5331/6513/23236/51422/91860/3945/801/5532/10000/5213/126129/5140/32",33
"hsa00030","hsa00030","Pentose phosphate pathway","9/2774","30/8577",0.673925555356997,0.876883830715475,0.547795615002639,"8789/64080/5236/5211/6888/2539/9563/5213/230",9
"hsa00910","hsa00910","Nitrogen metabolism","5/2774","17/8577",0.688786981719335,0.886991144103948,0.554109726130843,"771/2752/767/23632/768",5
"hsa00561","hsa00561","Glycerolipid metabolism","19/2774","63/8577",0.689589554169835,0.886991144103948,0.554109726130843,"196051/11343/231/8613/9388/1606/8611/64900/4023/1609/8525/84513/84803/217/501/57678/84649/57016/139189",19
"hsa03250","hsa03250","Viral life cycle - HIV-1","19/2774","63/8577",0.689589554169835,0.886991144103948,0.554109726130843,"4600/22936/4599/60489/200315/100913187/9582/4131/200316/25939/55201/5045/10955/9146/27350/11052/11168/4300/7852",19
"hsa04150","hsa04150","mTOR signaling pathway","48/2774","156/8577",0.692433340794753,0.887262493717991,0.55427924017991,"7476/7477/81029/7483/220441/7475/7124/5293/7855/64798/64900/652968/7132/7473/8323/80326/207/55437/245973/5604/5578/6249/1855/2535/6396/6196/8326/6197/6655/8324/51382/10670/3480/5594/51256/107080638/1975/1147/4040/8140/10000/7474/6502/79899/8321/5582/5579/3479",48
"hsa04710","hsa04710","Circadian rhythm","10/2774","34/8577",0.703080068417201,0.897492360062867,0.560669911018502,"4862/8553/406/6095/9975/51422/1454/8864/5187/1628",10
"hsa04140","hsa04140","Autophagy - animal","43/2774","141/8577",0.710855450960085,0.90399353574924,0.564731242073553,"55062/22808/1514/5580/22800/5293/58476/64798/1508/51100/1613/53349/9451/8837/8878/598/5861/207/1509/3091/81631/664/84557/5604/55255/2081/3916/10010/643246/5516/6237/10670/3480/115201/572/5594/84938/9110/5602/10000/3146/8660/1612",43
"hsa04137","hsa04137","Mitophagy - animal","21/2774","72/8577",0.757132215875128,0.959223897556083,0.599234045013952,"22808/10133/22800/65018/3725/6714/9451/8878/598/3091/81631/664/84557/643246/5970/6237/139341/6667/5602/1869/64786",21
"hsa05204","hsa05204","Chemical carcinogenesis - DNA adducts","20/2774","69/8577",0.764285127736205,0.962130252675086,0.601049665891042,"2938/1543/1545/5743/1571/4257/4258/445329/9446/373156/374875/2947/6799/6817/2941/1646/2944/2949/2946/2948",20
"hsa00340","hsa00340","Histidine metabolism","6/2774","22/8577",0.765136224679297,0.962130252675086,0.601049665891042,"3176/221/218/55748/217/501",6
"hsa00040","hsa00040","Pentose and glucuronate interconversions","10/2774","36/8577",0.775056350172163,0.970981375494495,0.606579025765731,"729920/7358/231/55277/51084/7360/51181/9365/6652/57016",10
"hsa00592","hsa00592","alpha-Linolenic acid metabolism","7/2774","26/8577",0.785663154231674,0.977005472236436,0.610342322184249,"11145/8605/51/9415/5321/8398/50487",7
"hsa04950","hsa04950","Maturity onset diabetes of the young","7/2774","26/8577",0.785663154231674,0.977005472236436,0.610342322184249,"4760/3087/168620/3280/4825/6927/4821",7
"hsa00983","hsa00983","Drug metabolism - other enzymes","23/2774","80/8577",0.789620387201959,0.978316435614192,0.611161290403993,"2938/978/7378/1890/1806/1571/4257/4258/51727/9446/7172/7084/4833/83549/7372/2947/2941/6241/2944/2949/2946/1066/2948",23
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis","19/2774","67/8577",0.795588877986176,0.98210055634191,0.613525257749124,"8789/221/218/80201/3098/5236/5211/83440/55902/9562/2027/3099/217/3945/501/5213/2026/230/3101",19
"hsa00360","hsa00360","Phenylalanine metabolism","4/2774","16/8577",0.81277735665241,0.99965682186811,0.62449278267569,"221/218/3242/137362",4
"hsa04152","hsa04152","AMPK signaling pathway","35/2774","121/8577",0.817271413319432,1,0.624707168514759,"8789/10891/90993/5523/1374/5293/64764/2308/23216/5209/10488/5526/3953/207/55437/5211/5516/5210/23417/5525/3480/51422/79966/5520/6319/595/3991/10000/5213/126129/8660/32/890/148/3479",35
"hsa04966","hsa04966","Collecting duct acid secretion","7/2774","27/8577",0.820111454086449,1,0.624707168514759,"10312/245972/245973/10723/9114/51382/155066",7
"hsa01230","hsa01230","Biosynthesis of amino acids","21/2774","75/8577",0.823688281458349,1,0.624707168514759,"113675/445/435/5211/48/6888/29920/95/2027/3419/2752/5723/6470/3417/29968/384/5213/2026/26227/230/137362",21
"hsa03022","hsa03022","Basal transcription factors","12/2774","45/8577",0.83524879213485,1,0.624707168514759,"6881/2068/6875/1022/6883/6884/83860/129685/6873/9569/10629/51616",12
"hsa04977","hsa04977","Vitamin digestion and absorption","6/2774","24/8577",0.838475170760465,1,0.624707168514759,"335/686/8029/6948/8884/80704",6
"hsa04217","hsa04217","Necroptosis","46/2774","159/8577",0.844762235850865,1,0.624707168514759,"7099/8743/330/3553/7128/329/6776/8605/3552/7124/817/5836/824/55766/353376/10379/823/148022/3459/197259/1540/8797/7188/7132/5834/6777/8717/8837/8969/92421/8878/6774/6773/10616/3460/8737/2752/355/142/27005/5602/3015/3146/6609/5321/55506",46
"hsa04146","hsa04146","Peroxisome","23/2774","83/8577",0.84738585833397,1,0.624707168514759,"51703/196743/255027/8528/2180/5264/215/1384/26061/51/3155/8540/23417/390916/5826/373156/25824/3417/5827/8800/55825/570/8309",23
"hsa00450","hsa00450","Selenocompound metabolism","4/2774","17/8577",0.850928241247202,1,0.624707168514759,"9060/114112/7296/883",4
"hsa00260","hsa00260","Glycine, serine and threonine metabolism","10/2774","40/8577",0.879686692991386,1,0.624707168514759,"113675/2731/55349/501/5723/6470/29968/26227/2593/2628",10
"hsa04976","hsa04976","Bile secretion","24/2774","89/8577",0.887003689779914,1,0.624707168514759,"486/114/358/8714/477/57552/112/196883/481/108/1244/115/3949/200931/6522/6513/483/113/10998/570/482/478/343/64240",24
"hsa00563","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","6/2774","26/8577",0.892082016969456,1,0.624707168514759,"80235/5281/10026/9488/80055/2822",6
"hsa00140","hsa00140","Steroid hormone biosynthesis","16/2774","62/8577",0.894493493736234,1,0.624707168514759,"1543/1545/1571/1589/3294/1312/374875/8630/51478/3291/1646/1109/79644/8644/6783/7923",16
"hsa00591","hsa00591","Linoleic acid metabolism","7/2774","30/8577",0.897844355317091,1,0.624707168514759,"11145/8605/1571/1573/5321/8398/50487",7
"hsa00630","hsa00630","Glyoxylate and dicarboxylate metabolism","7/2774","30/8577",0.897844355317091,1,0.624707168514759,"2731/48/55902/2752/39/6470/5095",7
"hsa01200","hsa01200","Carbon metabolism","31/2774","115/8577",0.912152589803996,1,0.624707168514759,"8789/113675/2731/10873/80201/8801/35/3098/5211/83440/48/6888/2539/51/55902/9563/2027/3419/3099/39/5723/6470/3417/29968/5213/2026/26227/5095/230/137362/3101",31
"hsa05415","hsa05415","Diabetic cardiomyopathy","57/2774","203/8577",0.919100326666338,1,0.624707168514759,"185/1277/7042/183/1281/4313/1278/4688/5880/5580/5465/5166/4088/9945/7046/7048/817/5293/4790/6300/5600/1636/1535/207/1509/5332/5578/2539/5970/5331/6513/4539/4731/4541/4538/23236/4846/177/5501/6667/517/1349/4717/4697/4707/142/54539/4698/4696/5602/10000/1350/516/5582/6262/5579/7137",57
"hsa00980","hsa00980","Metabolism of xenobiotics by cytochrome P450","20/2774","78/8577",0.920501736477366,1,0.624707168514759,"2938/221/218/1543/1545/1571/4257/4258/9446/373156/874/374875/2947/2941/2944/2949/2946/2948/29785/1572",20
"hsa04211","hsa04211","Longevity regulating pathway","23/2774","89/8577",0.926187552269311,1,0.624707168514759,"10891/114/90993/5293/4790/64764/112/196883/2308/108/10488/115/207/5970/3480/51422/113/26060/10919/10000/8660/9365/3479",23
"hsa05034","hsa05034","Alcoholism","52/2774","188/8577",0.930325480915582,1,0.624707168514759,"3018/94235/90993/627/2792/7054/136/79885/64764/55766/25759/54331/55970/2770/2791/10488/2771/399694/8357/8365/554313/8349/6464/8341/83933/8969/51564/9734/5604/2790/805/6655/116444/2787/10681/5594/5501/91860/2030/801/3177/2785/3015/59345/53358/4852/84254/2793/55506/84152/2903/5173",52
"hsa04742","hsa04742","Taste transduction","22/2774","86/8577",0.930723000603977,1,0.624707168514759,"114/6337/3352/5137/2914/112/196883/775/5332/5331/23236/773/3355/5028/40/9177/342372/5153/5136/6338/6340/2557",22
"hsa04932","hsa04932","Non-alcoholic fatty liver disease","42/2774","155/8577",0.934406080086381,1,0.624707168514759,"3576/3553/3569/3570/9021/5465/3552/7124/7494/5293/4790/3725/4217/6300/1571/5600/7132/3953/9451/207/836/2081/998/5970/4731/51422/840/1349/4717/4697/355/4707/54539/4698/4696/5602/10000/1350/1050/8660/2353/51085",42
"hsa00350","hsa00350","Tyrosine metabolism","8/2774","36/8577",0.934760743512451,1,0.624707168514759,"221/218/7054/3242/2184/316/1312/137362",8
"hsa04962","hsa04962","Vasopressin-regulated water reabsorption","10/2774","44/8577",0.940765049313409,1,0.624707168514759,"90993/360/64764/112/10488/115/6810/5868/79659/554",10
"hsa00270","hsa00270","Cysteine and methionine metabolism","12/2774","52/8577",0.946800155256857,1,0.624707168514759,"113675/144811/7263/1789/23382/3945/1788/191/29968/26227/883/137362",12
"hsa03420","hsa03420","Nucleotide excision repair","15/2774","63/8577",0.947195532679835,1,0.624707168514759,"57804/2074/2068/5441/1022/5886/5424/5982/5983/6118/5984/10714/5985/3978/5111",15
"hsa05320","hsa05320","Autoimmune thyroid disease","12/2774","53/8577",0.955497334813688,1,0.624707168514759,"3106/1081/3107/3135/3134/3133/3105/355/3113/3115/3109/7038",12
"hsa05010","hsa05010","Alzheimer disease","109/2774","384/8577",0.961251607168755,1,0.624707168514759,"7476/7477/100506742/81029/55062/22943/4311/7483/1435/3553/7475/3569/3800/3552/7124/7494/5293/348/4035/5743/5533/824/4790/91252/7855/823/4217/113457/10297/1128/10381/51807/7132/23621/23516/102/4023/9451/3709/775/7473/8323/80326/147700/57142/207/5332/7922/5604/836/23385/1855/90550/2535/2081/8326/8517/805/5970/8324/83464/5331/4539/4731/4541/84617/4538/23236/5663/25800/1454/7280/572/5594/840/177/517/91860/1020/1349/4717/4697/355/23401/4707/801/1147/54539/25825/4040/5532/4698/4696/5602/10000/322/1350/7474/516/8660/8313/1139/8321/64116/6622/4137/27123/4842/2903",109
